site,Date,Tmax,Tmin,Prec,LW,RHmax,RHmin,chillState,ChillRate,antiChillState,forcingRate,forcingState,cycleCompletion,bbchCode,bbchPhase,bbchRef,plantSusceptibility,Rule310,Epi,Ipi,Dmcast,Magarey,UCSC,misfits,laore,onsRule310,onsEpi,onsIpi,onsDmcast,onsMagarey,onsUCSC,onsmisfits,onslaore,pressureRule310,pressureEpi,pressureIpi,pressureDmcast,pressureMagarey,pressureUCSC,pressureMisfits,pressureLaore
Tufo.csv,1/1/2013 12:00:00 AM,5.0646157,-3.19,0,0,81.75903,45.944595,-1.5536964,-1.5536964,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tufo.csv,1/2/2013 12:00:00 AM,12.61,3.7699995,0.09583333,1,89.51909,49.093018,-4.771655,-3.2179585,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tufo.csv,1/3/2013 12:00:00 AM,12.51,5.4499993,2.2041667,23,94.02939,58.37674,-6.8611383,-2.0894833,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tufo.csv,1/4/2013 12:00:00 AM,14.64,5.6500006,0,3,93.04822,50.99162,-8.903992,-2.0428529,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tufo.csv,1/5/2013 12:00:00 AM,13.17,5.242841,0,5,94.23464,56.852585,-11.181665,-2.2776735,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tufo.csv,1/6/2013 12:00:00 AM,10.33,4.37,0,3,91.590225,60.924107,-13.706221,-2.5245554,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tufo.csv,1/7/2013 12:00:00 AM,13.38,4.9000006,0,3,92.07359,51.971863,-16.239594,-2.5333724,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tufo.csv,1/8/2013 12:00:00 AM,13.75,4.4500003,0,1,90.62323,48.389717,-19.11204,-2.872446,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tufo.csv,1/9/2013 12:00:00 AM,11.69,3.75,0,0,89.803986,52.250324,-22.224602,-3.112563,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tufo.csv,1/10/2013 12:00:00 AM,12.8,5.5700006,0,6,97.78297,57.86526,-24.24624,-2.0216386,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
